Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.999152	0.749013	0.0512959	0.0103189	0.092509	0.0552687	0.706025	250	0.316667	0.401852	0.412963	0.327778	0.472222	0.294444	0.3	0.588889	0.322222	0.355556	0.566667	0.355556	0.205556	0.15
All	0.999073	0.628661	0.0399324	0.0199545	0.0317347	0.0429474	0.951225	250	0.301852	0.388889	0.403704	0.261111	0.427778	0.361111	0.3	0.561111	0.316667	0.327778	0.538889	0.338889	0.194444	0.144444
All	0.999613	0.0133627	0.0186009	0.00121865	0.421551	0.0985294	0.266296	250	0.387037	0.401852	0.316667	0.288889	0.605556	0.25	0.355556	0.611111	0.311111	0.233333	0.688889	0.183333	0.1	0.0833333
All	0.999246	0.0313333	0.0862233	0.0102973	0.176072	0.0269298	0.0386876	250	0.383333	0.37037	0.42037	0.344444	0.383333	0.405556	0.322222	0.516667	0.416667	0.394444	0.533333	0.438889	0.211111	0.227778
All	0.999497	0.718843	0.00416138	0.00115419	0.344838	0.0266684	0.529179	250	0.285185	0.32963	0.327778	0.361111	0.55	0.322222	0.422222	0.644444	0.266667	0.255556	0.683333	0.255556	0.138889	0.116667
All	0.999711	0.0414264	0.0101428	9.11735e-05	0.182239	0.0118464	0.613134	250	0.342593	0.353704	0.222222	0.216667	0.655556	0.183333	0.266667	0.55	0.322222	0.355556	0.594444	0.216667	0.1	0.116667
All	0.999423	0.39955	0.064789	0.0105912	0.893442	0.0837529	0.335375	250	0.340741	0.277778	0.375926	0.35	0.438889	0.355556	0.294444	0.538889	0.355556	0.316667	0.594444	0.322222	0.172222	0.15
All	0.999154	0.245152	0.0535215	0.00864287	0.324438	0.0168473	0.969278	250	0.387037	0.444444	0.42037	0.277778	0.444444	0.377778	0.288889	0.494444	0.366667	0.327778	0.511111	0.461111	0.188889	0.272222
All	0.999296	0.194896	0.0212279	0.00126368	0.164814	0.0308306	0.924955	250	0.244444	0.368519	0.37037	0.3	0.45	0.361111	0.327778	0.494444	0.411111	0.266667	0.511111	0.327778	0.211111	0.116667
All	0.999838	0.609737	0.0654675	0.0122155	0.700708	0.037473	0.0596571	250	0.337037	0.424074	0.305556	0.177778	0.516667	0.2	0.266667	0.627778	0.333333	0.233333	0.666667	0.238889	0.127778	0.111111
All	0.99985	0.54916	0.0859184	0.0308292	0.437515	0.0996261	0.977332	250	0.627778	0.5	0.346296	0.244444	0.516667	0.2	0.388889	0.55	0.377778	0.311111	0.527778	0.294444	0.177778	0.116667
All	0.999491	0.120841	0.00817622	0.00363662	0.355643	0.0814686	0.127463	250	0.287037	0.366667	0.353704	0.261111	0.544444	0.327778	0.35	0.655556	0.288889	0.216667	0.688889	0.261111	0.183333	0.0777778
All	0.999593	0.405468	0.058456	0.0143358	0.922881	0.0074694	0.0329427	250	0.324074	0.296296	0.351852	0.283333	0.427778	0.388889	0.322222	0.566667	0.361111	0.35	0.566667	0.4	0.177778	0.222222
All	0.999466	0.0701886	0.0545904	0.00792848	0.270689	0.0536706	0.711193	250	0.311111	0.338889	0.401852	0.288889	0.45	0.355556	0.338889	0.644444	0.294444	0.338889	0.527778	0.372222	0.216667	0.155556
All	0.999511	0.0384319	0.0425625	0.00346443	0.630422	0.0768721	0.980737	250	0.301852	0.377778	0.35	0.316667	0.5	0.327778	0.322222	0.622222	0.288889	0.383333	0.583333	0.288889	0.172222	0.116667
All	0.999132	0.303281	0.0925911	0.0435371	0.200617	0.0451775	0.440961	250	0.448148	0.409259	0.392593	0.338889	0.383333	0.394444	0.266667	0.572222	0.333333	0.388889	0.505556	0.461111	0.183333	0.277778
All	0.999365	0.0835337	0.0325093	0.0116139	0.0653813	0.0796383	0.391191	250	0.290741	0.392593	0.381481	0.277778	0.416667	0.305556	0.311111	0.594444	0.283333	0.288889	0.605556	0.255556	0.166667	0.0888889
All	0.9993	0.61716	0.0363706	0.00640394	0.672587	0.0903264	0.0467063	250	0.331481	0.324074	0.387037	0.344444	0.427778	0.305556	0.311111	0.611111	0.272222	0.3	0.527778	0.327778	0.194444	0.133333
All	0.999201	0.159451	0.0739594	0.0126856	0.124548	0.0254884	0.092804	250	0.446296	0.435185	0.4	0.3	0.461111	0.35	0.3	0.483333	0.427778	0.383333	0.55	0.411111	0.244444	0.166667
All	0.999931	0.0833149	0.0283651	0.0119955	0.623155	0.049405	0.0698217	250	0.638889	0.622222	0.381481	0.211111	0.655556	0.238889	0.611111	0.527778	0.377778	0.211111	0.622222	0.2	0.194444	0.00555556
All	0.999616	0.64017	0.0116785	0.000270851	0.817203	0.0639537	0.726896	250	0.342593	0.383333	0.301852	0.305556	0.561111	0.244444	0.316667	0.622222	0.283333	0.25	0.688889	0.222222	0.15	0.0722222
All	0.999259	0.620669	0.0230547	0.00194151	0.988266	0.00318919	0.628477	250	0.2	0.355556	0.387037	0.3	0.416667	0.411111	0.322222	0.5	0.377778	0.255556	0.55	0.394444	0.227778	0.166667
All	0.999239	0.0164412	0.0829697	0.0309611	0.902115	0.010193	0.781097	250	0.438889	0.381481	0.357407	0.355556	0.466667	0.355556	0.344444	0.577778	0.372222	0.394444	0.611111	0.372222	0.211111	0.161111
All	0.999844	0.0631906	0.00883524	0.00113204	0.871689	0.0559962	0.733109	250	0.477778	0.509259	0.3	0.177778	0.583333	0.183333	0.266667	0.6	0.366667	0.272222	0.733333	0.2	0.144444	0.0555556
All	0.99973	0.73291	0.0751647	0.0311898	0.14511	0.0872325	0.240351	250	0.338889	0.387037	0.288889	0.333333	0.572222	0.288889	0.388889	0.694444	0.272222	0.322222	0.611111	0.3	0.166667	0.133333
All	0.999175	0.590385	0.0172594	0.00782143	0.808499	0.0663042	0.682256	250	0.2	0.333333	0.325926	0.277778	0.455556	0.338889	0.355556	0.555556	0.327778	0.327778	0.561111	0.311111	0.188889	0.122222
All	0.999068	0.238285	0.052766	0.0224702	0.522115	0.0362126	0.895914	250	0.372222	0.407407	0.409259	0.316667	0.472222	0.316667	0.311111	0.522222	0.383333	0.377778	0.511111	0.444444	0.2	0.244444
All	0.999701	0.587045	0.0460548	0.00939415	0.549392	0.0935251	0.416597	250	0.316667	0.511111	0.283333	0.25	0.566667	0.3	0.316667	0.644444	0.311111	0.361111	0.666667	0.238889	0.144444	0.0944444
All	0.999974	0.669815	0.0895462	0.0311299	0.330144	0.0774917	0.856229	250	0.872222	0.868519	0.42963	0.133333	0.733333	0.177778	0.655556	0.561111	0.372222	0.2	0.694444	0.166667	0.166667	0
All	0.999023	0.225693	0.0702339	0.00202313	0.404379	0.0137182	0.624467	250	0.435185	0.455556	0.424074	0.327778	0.483333	0.35	0.288889	0.455556	0.455556	0.405556	0.527778	0.444444	0.2	0.244444
All	0.999674	0.199467	0.0488142	0.0198439	0.933321	0.0340244	0.361723	250	0.294444	0.333333	0.35	0.294444	0.427778	0.4	0.311111	0.555556	0.372222	0.272222	0.65	0.322222	0.188889	0.133333
All	0.999565	0.358466	0.052097	0.00557839	0.731558	0.0944992	0.315993	250	0.322222	0.372222	0.32037	0.277778	0.527778	0.294444	0.338889	0.583333	0.35	0.344444	0.638889	0.227778	0.122222	0.105556
All	0.999181	0.227049	0.0478641	0.0133237	0.58735	0.0228717	0.22334	250	0.383333	0.368519	0.387037	0.277778	0.438889	0.372222	0.316667	0.5	0.355556	0.3	0.583333	0.4	0.205556	0.194444
All	0.999249	0.180792	0.0634189	0.00272134	0.200816	0.027272	0.355245	250	0.394444	0.448148	0.411111	0.305556	0.45	0.377778	0.261111	0.516667	0.377778	0.405556	0.555556	0.438889	0.183333	0.255556
All	0.999018	0.285292	0.0337752	0.0101552	0.330936	0.0628304	0.153698	250	0.248148	0.364815	0.375926	0.327778	0.472222	0.3	0.322222	0.555556	0.355556	0.305556	0.577778	0.305556	0.161111	0.144444
All	0.999227	0.330114	0.00565157	0.00110214	0.913735	0.0176564	0.740198	250	0.159259	0.27963	0.275926	0.477778	0.572222	0.261111	0.505556	0.716667	0.233333	0.311111	0.577778	0.311111	0.172222	0.138889
