Exp	a_t	lp	e_b	e_n	dsbeta	e_ds	mwd	aw	Yu2007-Exp1-2x2-single	Yu2007-Exp1-3x3-single	Yu2007-Exp1-4x4-single	Yurokovisky2013-Exp1-single	Yurokovisky2013-Exp1-either	Yurokovisky2013-Exp1-both	Yurokovisky2013-Exp2-single	Yurokovisky2013-Exp2-either	Yurokovisky2013-Exp2-both	Yurokovisky2013-Exp3-single	Yurokovisky2013-Exp3-either	Yurokovisky2013-Exp3-both	Yurokovisky2013-Exp3-early	Yurokovisky2013-Exp3-late
All	0.999841	0.122804	0.482253	0.259031	0.559436	3.85489	0.941957	200.982	0.777778	0.535185	0.401852	0.205556	0.411111	0.366667	0.233333	0.766667	0.194444	0.327778	0.772222	0.127778	0.127778	0
All	0.999918	0.011583	0.0505695	0.0415095	0.0135259	2.42554	0.385222	207.801	0.818519	0.792593	0.616667	0.288889	0.216667	0.783333	0.566667	0.838889	0.133333	0.611111	0.755556	0.238889	0.188889	0.05
All	0.999822	0.084213	0.184037	0.0901021	0.649682	0.889843	0.269064	208.521	0.594444	0.522222	0.364815	0.261111	0.566667	0.25	0.211111	0.738889	0.166667	0.316667	0.844444	0.0222222	0.00555556	0.0166667
All	0.999967	0.124159	0.00656214	0.00270714	0.0956025	1.36232	0.0551369	209.809	0.887037	0.874074	0.72037	0.611111	0.0833333	0.916667	0.85	0.794444	0.205556	0.8	0.866667	0.133333	0.1	0.0333333
All	0.999883	0.0148908	0.260776	0.123294	0.336689	0.953212	0.515387	207.874	0.848148	0.592593	0.492593	0.366667	0.533333	0.35	0.266667	0.7	0.222222	0.361111	0.627778	0.227778	0.166667	0.0611111
All	0.999963	0.182011	0.574115	0.228294	0.370292	2.98552	0.511332	208.399	0.827778	0.792593	0.672222	0.538889	0.4	0.6	0.561111	0.738889	0.211111	0.483333	0.9	0.1	0.0888889	0.0111111
All	0.999864	0.16968	0.453371	0.252561	0.782278	2.22471	0.620266	211.438	0.798148	0.57963	0.455556	0.244444	0.577778	0.277778	0.238889	0.727778	0.255556	0.388889	0.633333	0.194444	0.183333	0.0111111
All	0.999905	0.0421188	0.467814	0.387857	0.023693	2.91138	0.453172	205.598	0.788889	0.65	0.577778	0.216667	0.511111	0.416667	0.316667	0.75	0.233333	0.516667	0.616667	0.333333	0.266667	0.0666667
All	0.999978	0.0774288	0.672909	0.459261	0.448859	0.821101	0.744366	209.169	0.651852	0.77037	0.662963	0.611111	0.0777778	0.922222	0.788889	0.555556	0.444444	0.272222	0.833333	0.166667	0.0388889	0.127778
All	0.99985	0.0674995	0.555584	0.224801	0.609157	1.11127	0.373492	203.315	0.781481	0.548148	0.409259	0.25	0.466667	0.305556	0.238889	0.816667	0.144444	0.35	0.761111	0.0944444	0.0777778	0.0166667
